fecha,date,neto
2021-10-01 06:27:59.000 +0200,44470,1080.0
2021-10-01 07:15:49.000 +0200,44470,1200.0
2021-10-01 08:50:12.000 +0200,44470,3740.0
2021-10-01 10:45:12.000 +0200,44470,5580.0
2021-10-01 10:52:18.000 +0200,44470,2200.0
2021-10-01 11:22:10.000 +0200,44470,1800.0
2021-10-01 11:25:01.000 +0200,44470,200.0
2021-10-01 16:20:18.000 +0200,44470,540.0
2021-10-08 01:14:17.000 +0200,44477,9300.0
2021-10-08 01:23:59.000 +0200,44477,9040.0
2021-10-08 01:29:01.000 +0200,44477,11640.0
2021-10-08 01:45:52.000 +0200,44477,9140.0
2021-10-08 04:45:22.000 +0200,44477,6020.0
2021-10-08 04:53:48.000 +0200,44477,10380.0
2021-10-08 06:30:57.000 +0200,44477,1060.0
2021-10-08 07:12:06.000 +0200,44477,1300.0
2021-10-08 08:45:11.000 +0200,44477,3200.0
2021-10-08 09:40:23.000 +0200,44477,180.0
2021-10-08 10:32:42.000 +0200,44477,1720.0
2021-10-08 10:46:37.000 +0200,44477,5840.0
2021-10-08 11:01:43.000 +0200,44477,2960.0
2021-10-15 01:17:23.000 +0200,44484,9260.0
2021-10-15 01:33:37.000 +0200,44484,11240.0
2021-10-15 01:34:34.000 +0200,44484,8340.0
2021-10-15 04:31:45.000 +0200,44484,7760.0
2021-10-15 04:32:16.000 +0200,44484,9060.0
2021-10-15 04:36:12.000 +0200,44484,7180.0
2021-10-15 06:29:15.000 +0200,44484,940.0
2021-10-15 07:10:18.000 +0200,44484,840.0
2021-10-15 08:50:31.000 +0200,44484,100.0
2021-10-15 10:46:30.000 +0200,44484,440.0
2021-10-15 10:47:09.000 +0200,44484,4960.0
2021-10-15 10:59:38.000 +0200,44484,2620.0
2021-10-22 01:17:22.000 +0200,44491,8800.0
2021-10-22 01:31:18.000 +0200,44491,10220.0
2021-10-22 01:36:05.000 +0200,44491,10520.0
2021-10-22 04:56:55.000 +0200,44491,9000.0
2021-10-22 04:57:39.000 +0200,44491,9860.0
2021-10-22 04:58:11.000 +0200,44491,7260.0
2021-10-22 06:28:35.000 +0200,44491,1620.0
2021-10-22 07:24:47.000 +0200,44491,900.0
2021-10-22 08:38:25.000 +0200,44491,1460.0
2021-10-22 09:27:59.000 +0200,44491,200.0
2021-10-22 10:31:49.000 +0200,44491,1360.0
2021-10-22 10:39:30.000 +0200,44491,4960.0
2021-10-22 11:02:32.000 +0200,44491,2580.0
2021-10-29 01:13:10.000 +0200,44498,10600.0
2021-10-29 01:14:57.000 +0200,44498,9660.0
2021-10-29 01:41:14.000 +0200,44498,8340.0
2021-10-29 04:28:30.000 +0200,44498,7480.0
2021-10-29 04:29:51.000 +0200,44498,10560.0
2021-10-29 04:34:55.000 +0200,44498,7140.0
2021-10-29 06:30:17.000 +0200,44498,1060.0
2021-10-29 07:13:42.000 +0200,44498,1220.0
2021-10-29 08:54:42.000 +0200,44498,120.0
2021-10-29 10:20:37.000 +0200,44498,1360.0
2021-10-29 11:03:55.000 +0200,44498,6580.0
2021-10-29 11:09:33.000 +0200,44498,3460.0
2021-11-05 01:20:07.000 +0100,44505,10420.0
2021-11-05 01:25:44.000 +0100,44505,9220.0
2021-11-05 01:52:32.000 +0100,44505,9020.0
2021-11-05 04:33:04.000 +0100,44505,10000.0
2021-11-05 04:45:56.000 +0100,44505,7180.0
2021-11-05 04:46:54.000 +0100,44505,6480.0
2021-11-05 06:31:53.000 +0100,44505,1100.0
2021-11-05 07:53:39.000 +0100,44505,1380.0
2021-11-05 08:35:41.000 +0100,44505,5640.0
2021-11-05 08:44:41.000 +0100,44505,720.0
2021-11-05 09:33:43.000 +0100,44505,1240.0
2021-11-05 10:21:35.000 +0100,44505,1160.0
2021-11-05 11:01:51.000 +0100,44505,4780.0
2021-11-05 11:34:22.000 +0100,44505,4960.0
2021-11-05 16:24:27.000 +0100,44505,940.0
2021-11-12 01:11:09.000 +0100,44512,10760.0
2021-11-12 01:15:10.000 +0100,44512,8940.0
2021-11-12 01:19:50.000 +0100,44512,9420.0
2021-11-12 04:49:34.000 +0100,44512,10180.0
2021-11-12 04:50:00.000 +0100,44512,8180.0
2021-11-12 06:31:52.000 +0100,44512,940.0
2021-11-12 08:16:51.000 +0100,44512,1640.0
2021-11-12 09:20:24.000 +0100,44512,2280.0
2021-11-12 10:37:55.000 +0100,44512,300.0
2021-11-12 10:40:46.000 +0100,44512,5800.0
2021-11-12 10:53:05.000 +0100,44512,920.0
2021-11-12 11:04:48.000 +0100,44512,1660.0
2021-11-12 16:15:26.000 +0100,44512,840.0
2021-11-19 00:51:55.000 +0100,44519,10060.0
2021-11-19 01:01:18.000 +0100,44519,10840.0
2021-11-19 01:35:14.000 +0100,44519,9780.0
2021-11-19 04:49:03.000 +0100,44519,6600.0
2021-11-19 04:51:18.000 +0100,44519,8520.0
2021-11-19 04:53:16.000 +0100,44519,10760.0
2021-11-19 06:32:07.000 +0100,44519,1340.0
2021-11-19 07:57:06.000 +0100,44519,980.0
2021-11-19 08:27:03.000 +0100,44519,680.0
2021-11-19 08:44:30.000 +0100,44519,1760.0
2021-11-19 09:34:52.000 +0100,44519,80.0
2021-11-19 10:43:27.000 +0100,44519,5140.0
2021-11-19 10:53:47.000 +0100,44519,540.0
2021-11-19 10:55:54.000 +0100,44519,2560.0
2021-11-26 01:16:31.000 +0100,44526,10360.0
2021-11-26 01:19:55.000 +0100,44526,12460.0
2021-11-26 01:47:50.000 +0100,44526,10100.0
2021-11-26 04:40:46.000 +0100,44526,8020.0
2021-11-26 04:41:43.000 +0100,44526,10720.0
2021-11-26 04:42:43.000 +0100,44526,9520.0
2021-11-26 06:30:24.000 +0100,44526,1120.0
2021-11-26 07:19:08.000 +0100,44526,1980.0
2021-11-26 08:25:06.000 +0100,44526,1240.0
2021-11-26 08:54:20.000 +0100,44526,1600.0
2021-11-26 09:39:42.000 +0100,44526,420.0
2021-11-26 10:45:06.000 +0100,44526,1280.0
2021-11-26 10:54:27.000 +0100,44526,5300.0
2021-11-26 10:56:55.000 +0100,44526,3020.0
2021-11-26 16:12:20.000 +0100,44526,260.0
2021-12-03 01:18:23.000 +0100,44533,9220.0
2021-12-03 01:19:32.000 +0100,44533,11360.0
2021-12-03 01:44:52.000 +0100,44533,10060.0
2021-12-03 04:41:06.000 +0100,44533,10020.0
2021-12-03 04:41:42.000 +0100,44533,6920.0
2021-12-03 04:42:10.000 +0100,44533,7060.0
2021-12-03 06:32:03.000 +0100,44533,1140.0
2021-12-03 07:13:44.000 +0100,44533,1160.0
2021-12-03 08:24:54.000 +0100,44533,200.0
2021-12-03 09:37:47.000 +0100,44533,1280.0
2021-12-03 10:39:26.000 +0100,44533,920.0
2021-12-03 10:45:51.000 +0100,44533,5080.0
2021-12-03 11:06:32.000 +0100,44533,2380.0
2021-12-03 11:51:02.000 +0100,44533,2800.0
2021-12-03 16:24:33.000 +0100,44533,600.0
2021-12-10 01:02:12.000 +0100,44540,9780.0
2021-12-10 01:08:51.000 +0100,44540,11620.0
2021-12-10 01:35:08.000 +0100,44540,9140.0
2021-12-10 04:34:31.000 +0100,44540,8260.0
2021-12-10 04:35:02.000 +0100,44540,9780.0
2021-12-10 04:39:15.000 +0100,44540,7220.0
2021-12-10 06:32:52.000 +0100,44540,820.0
2021-12-10 07:22:04.000 +0100,44540,1680.0
2021-12-10 08:44:42.000 +0100,44540,2840.0
2021-12-10 09:31:32.000 +0100,44540,340.0
2021-12-10 10:27:24.000 +0100,44540,900.0
2021-12-10 10:40:55.000 +0100,44540,5340.0
2021-12-10 11:20:42.000 +0100,44540,2380.0
2021-12-10 11:36:24.000 +0100,44540,2300.0
2021-12-10 16:28:27.000 +0100,44540,760.0
2021-12-17 01:19:04.000 +0100,44547,9360.0
2021-12-17 01:20:19.000 +0100,44547,10560.0
2021-12-17 01:25:13.000 +0100,44547,9040.0
2021-12-17 04:27:15.000 +0100,44547,8200.0
2021-12-17 04:36:20.000 +0100,44547,6880.0
2021-12-17 04:38:51.000 +0100,44547,10100.0
2021-12-17 06:30:18.000 +0100,44547,1260.0
2021-12-17 07:10:55.000 +0100,44547,760.0
2021-12-17 08:43:57.000 +0100,44547,200.0
2021-12-17 09:16:21.000 +0100,44547,520.0
2021-12-17 10:17:19.000 +0100,44547,820.0
2021-12-17 10:42:36.000 +0100,44547,5120.0
2021-12-17 11:27:17.000 +0100,44547,1440.0
2021-12-17 11:46:22.000 +0100,44547,100.0
2021-12-17 16:26:51.000 +0100,44547,920.0
2021-12-24 01:15:29.000 +0100,44554,10540.0
2021-12-24 01:21:55.000 +0100,44554,12000.0
2021-12-24 01:28:51.000 +0100,44554,10040.0
2021-12-24 04:32:42.000 +0100,44554,8580.0
2021-12-24 04:33:47.000 +0100,44554,9400.0
2021-12-24 04:39:44.000 +0100,44554,8080.0
2021-12-24 06:34:30.000 +0100,44554,1720.0
2021-12-24 07:19:41.000 +0100,44554,1220.0
2021-12-24 08:33:13.000 +0100,44554,3160.0
2021-12-24 09:24:04.000 +0100,44554,180.0
2021-12-24 10:36:13.000 +0100,44554,5780.0
2021-12-24 10:39:28.000 +0100,44554,640.0
2021-12-24 11:10:45.000 +0100,44554,2860.0
2021-12-24 11:46:36.000 +0100,44554,2600.0
2021-12-31 01:22:53.000 +0100,44561,12280.0
2021-12-31 01:35:35.000 +0100,44561,11120.0
2021-12-31 02:02:37.000 +0100,44561,10240.0
2021-12-31 04:39:57.000 +0100,44561,10080.0
2021-12-31 04:53:16.000 +0100,44561,8380.0
2021-12-31 04:54:12.000 +0100,44561,7660.0
2021-12-31 06:36:04.000 +0100,44561,1460.0
2021-12-31 07:22:32.000 +0100,44561,1180.0
2021-12-31 08:23:06.000 +0100,44561,3340.0
2021-12-31 09:22:37.000 +0100,44561,220.0
2021-12-31 10:18:50.000 +0100,44561,660.0
2021-12-31 10:37:38.000 +0100,44561,5440.0
2021-12-31 11:07:56.000 +0100,44561,2400.0
2021-12-31 11:47:26.000 +0100,44561,1600.0
2021-12-31 16:08:07.000 +0100,44561,440.0
2022-01-07 01:12:20.000 +0100,44568,9840.0
2022-01-07 01:37:00.000 +0100,44568,8700.0
2022-01-07 01:37:34.000 +0100,44568,8880.0
2022-01-07 04:36:33.000 +0100,44568,7140.0
2022-01-07 04:37:11.000 +0100,44568,10360.0
2022-01-07 04:39:02.000 +0100,44568,7400.0
2022-01-07 06:37:20.000 +0100,44568,900.0
2022-01-07 07:16:53.000 +0100,44568,820.0
2022-01-07 08:22:19.000 +0100,44568,3200.0
2022-01-07 09:26:54.000 +0100,44568,1300.0
2022-01-07 10:40:12.000 +0100,44568,6160.0
2022-01-07 10:56:43.000 +0100,44568,2540.0
2022-01-14 01:01:42.000 +0100,44575,10140.0
2022-01-14 01:04:59.000 +0100,44575,9320.0
2022-01-14 01:26:07.000 +0100,44575,9440.0
2022-01-14 04:21:34.000 +0100,44575,6780.0
2022-01-14 04:21:57.000 +0100,44575,9960.0
2022-01-14 04:22:33.000 +0100,44575,7480.0
2022-01-14 06:28:35.000 +0100,44575,1100.0
2022-01-14 07:16:57.000 +0100,44575,1240.0
2022-01-14 08:45:28.000 +0100,44575,2400.0
2022-01-14 09:40:56.000 +0100,44575,80.0
2022-01-14 10:30:55.000 +0100,44575,580.0
2022-01-14 10:42:30.000 +0100,44575,5980.0
2022-01-14 10:55:49.000 +0100,44575,2360.0
2022-01-14 12:15:43.000 +0100,44575,1380.0
2022-01-14 16:02:15.000 +0100,44575,360.0
2022-01-21 01:18:19.000 +0100,44582,8900.0
2022-01-21 01:25:45.000 +0100,44582,10120.0
2022-01-21 01:30:59.000 +0100,44582,8980.0
2022-01-21 04:29:21.000 +0100,44582,7980.0
2022-01-21 04:35:58.000 +0100,44582,7340.0
2022-01-21 04:36:26.000 +0100,44582,8420.0
2022-01-21 06:24:34.000 +0100,44582,940.0
2022-01-21 07:12:13.000 +0100,44582,1020.0
2022-01-21 08:55:28.000 +0100,44582,200.0
2022-01-21 10:38:47.000 +0100,44582,720.0
2022-01-21 10:43:44.000 +0100,44582,5000.0
2022-01-21 10:46:52.000 +0100,44582,1520.0
2022-01-21 11:33:34.000 +0100,44582,1420.0
2022-01-28 01:19:24.000 +0100,44589,10940.0
2022-01-28 01:24:22.000 +0100,44589,9400.0
2022-01-28 01:33:22.000 +0100,44589,8300.0
2022-01-28 04:31:42.000 +0100,44589,9440.0
2022-01-28 04:33:52.000 +0100,44589,6200.0
2022-01-28 04:38:15.000 +0100,44589,7740.0
2022-01-28 06:30:14.000 +0100,44589,940.0
2022-01-28 07:13:57.000 +0100,44589,1220.0
2022-01-28 09:15:36.000 +0100,44589,3720.0
2022-01-28 10:32:18.000 +0100,44589,5240.0
2022-01-28 10:36:44.000 +0100,44589,900.0
2022-01-28 10:53:55.000 +0100,44589,1720.0
2022-01-28 10:55:32.000 +0100,44589,120.0
2022-01-28 11:51:34.000 +0100,44589,1780.0
2022-01-28 16:10:16.000 +0100,44589,480.0
2022-02-04 01:15:43.000 +0100,44596,8000.0
2022-02-04 01:15:47.000 +0100,44596,11300.0
2022-02-04 01:17:35.000 +0100,44596,8340.0
2022-02-04 04:41:47.000 +0100,44596,7490.0
2022-02-04 05:00:29.000 +0100,44596,10160.0
2022-02-04 05:05:48.000 +0100,44596,8480.0
2022-02-04 06:24:44.000 +0100,44596,840.0
2022-02-04 07:13:59.000 +0100,44596,2800.0
2022-02-04 09:09:29.000 +0100,44596,100.0
2022-02-04 10:40:43.000 +0100,44596,460.0
2022-02-04 10:54:54.000 +0100,44596,2080.0
2022-02-04 10:56:49.000 +0100,44596,4980.0
2022-02-04 16:05:40.000 +0100,44596,480.0
2022-02-11 01:19:33.000 +0100,44603,10240.0
2022-02-11 01:20:06.000 +0100,44603,8560.0
2022-02-11 01:20:38.000 +0100,44603,8980.0
2022-02-11 04:35:53.000 +0100,44603,5940.0
2022-02-11 04:36:21.000 +0100,44603,8100.0
2022-02-11 04:42:05.000 +0100,44603,10380.0
2022-02-11 06:28:52.000 +0100,44603,1100.0
2022-02-11 07:14:02.000 +0100,44603,1200.0
2022-02-11 08:53:41.000 +0100,44603,120.0
2022-02-11 10:17:13.000 +0100,44603,800.0
2022-02-11 10:33:50.000 +0100,44603,840.0
2022-02-11 10:56:12.000 +0100,44603,2400.0
2022-02-11 11:04:59.000 +0100,44603,5500.0
2022-02-11 12:07:07.000 +0100,44603,420.0
2022-02-11 16:14:45.000 +0100,44603,160.0
2022-02-18 01:20:56.000 +0100,44610,9320.0
2022-02-18 01:29:21.000 +0100,44610,8820.0
2022-02-18 01:49:09.000 +0100,44610,10480.0
2022-02-18 04:36:12.000 +0100,44610,8260.0
2022-02-18 04:40:48.000 +0100,44610,6860.0
2022-02-18 04:43:15.000 +0100,44610,8160.0
2022-02-18 06:20:04.000 +0100,44610,1220.0
2022-02-18 08:30:56.000 +0100,44610,1060.0
2022-02-18 09:30:17.000 +0100,44610,260.0
2022-02-18 10:30:11.000 +0100,44610,560.0
2022-02-18 10:40:59.000 +0100,44610,5220.0
2022-02-18 10:52:09.000 +0100,44610,2400.0
2022-02-18 16:13:16.000 +0100,44610,160.0
2022-02-25 01:18:05.000 +0100,44617,8740.0
